uem_maputo,maravia,massangulo_1,nanhupo_1,dindiza,nhapassa_1
441.7697,,,,,
437.7778,,,,,
432.4553,,,,,
431.1246,,,,,
428.4634,,,,,
423.1408,,,,,
420.4796,,,,,
415.1571,,,,,
411.1652,,,,,
407.1733,,,,,
403.1814,,,,,
397.8589,,,,,
393.8669,,,,,
391.2057,,,,,
389.8751,,,,,
385.8832,,,,,
383.2219,,,,,
379.23,,,,,
373.9075,,,,,
368.585,,,,,
363.2624,,,,,
359.2705,,,,,
353.948,,,,,
351.2867,,,,,
348.6255,,,,,
345.9642,,,,,
340.6417,,,,,
336.6498,,,,,
331.3273,,,,,
327.3354,,,,,
322.0129,,,,,
319.3516,,,,,
314.0291,,,,,
312.6984,,,,,
306.0453,,,,,
303.384,,,,,
296.7308,,,,,
294.0696,,,,,
291.4083,,,,,
287.4164,,,,,
283.4245,,,,,
280.7633,,,,,
275.4407,,,,,
270.1182,,,,,
266.1263,,,,,
262.1344,,,,,
258.1426,,,,,
254.1506,,,,,
248.8281,,,,,
246.1669,,,,,
240.8443,,,,,
238.1831,,,,,
234.1912,,,,,
230.1993,,,,,
224.8767,,,,,
218.2236,,,,,
216.893,,,,,
215.5623,,,,,
210.2398,,,,,
206.2479,,,,,
202.256,,,,,
198.2641,,,,,
195.6028,,,,,
191.611,,,,,
187.6191,,,,,
183.6272,,,,,
179.6353,,,,,
174.3127,,,,,
168.9902,,,,,
164.9983,,,,,
161.0064,,,,,
155.6839,,,,,
151.692,,,,,
149.0308,,,,,
143.7082,,,,,
138.3857,,,,,
134.3938,,,,,
130.4019,,,,,
126.41,,,,,
121.0875,,,,,
117.0956,,,,,
113.1037,,,,,
109.1118,,,,,
106.4505,,,,,
102.4586,,,,,
99.7974,,,,,
95.8055,,,,,
93.1442,,,,,
87.8217,,,,,
85.1604,,,,,
81.1685,,,,,
78.5073,,,,,
75.846,,,,,
71.8541,,,,,
69.1928,,,,,
63.8703,,,,,
61.2091,,,,,
57.2172,,,,,
54.5559,,,,,
50.564,,,,,
47.9027,,,,,
45.2415,,,,,
42.5802,,,,,
39.919,,,,,
37.2577,,,,,
629.3,,,,,
